,Question,Answer
0,"What are you doing, weirdo?","I'm doing the best speech from ""Donnie Brasco."" Actually-- --ten of me are doing the best speech from Donnie Brasco. Sup?"
1,"I'm doing the best speech from ""Donnie Brasco."" Actually-- --ten of me are doing the best speech from Donnie Brasco. Sup?","Get it together, man. All ten of you."
2,DO YOU BELIEVE IN LIFE AFTER LOVE? --,"Dude, seriously?"
3,"Dude, seriously?","I know, not my first choice either, but it's stuck. Got any other songs, Ahmed?"
4,"I know, not my first choice either, but it's stuck. Got any other songs, Ahmed?","No, is broken. You want it? One-fifty for you. Works perfect."
5,"No, is broken. You want it? One-fifty for you. Works perfect.","You literally just said it was broken. (singing) I THINK THIS ROBB-RY WAS A SMASH AND GRAB I REALLY BELIEVE IT WAS A SMASH AND GRAB, OH!!!"
6,"Really, Cher? I think it was an inside job. Prove me wrong.","A challenge? Is this a challenge? I love challenges! The door and the register were both forced, and they tripped a motion sensor -- i.e., not an inside job."
7,"A challenge? Is this a challenge? I love challenges! The door and the register were both forced, and they tripped a motion sensor -- i.e., not an inside job.",Or it's an inside job meant to look like a smash and grab.
8,"And how do you know that, dare I ask?","I had a confidential informant on the inside. He spent years right here, in this sale bin, watching, learning, waiting. His code name is... (holds up teddy bear) Fuzzy Cuddle Bear! And he's a nanny cam."
9,"(as Fuzzy, crying) ""I strangled a Mr. Potato Head with my bare hands. Oh God, what have I become?!""",All right. Let's get started.
10,"Quiet, please. Come on, guys, I don't want to have to raise my voice. Rosa?",Shut up! Everyone shuts up.
11,"Thank you, Gina. Open cases -- you closed the electronics store robbery from last week?","Patrol picked up all three mopes yesterday, Sarge. Would you like to do the honor?"
12,"Patrol picked up all three mopes yesterday, Sarge. Would you like to do the honor?",I hate this. I hate this. Enjoy it while it lasts.
13,"JP, update on the Morgenthau murder?","Early this morning, someone decided to shoot and kill luxury food importer Harry Morgenthau. Body was discovered by his cleaning lady. During her interview, using expert detective work, I deduced that she had something super gross on her chin. I took a picture of it, as evidence."
14,"Maybe it was just, like, that old person gunk. You know the way they're always covered in gunk? Oldies are gross.","How about we focus on the murder, instead of the old person gunk?"
15,"How about we focus on the murder, instead of the old person gunk?","Crime techs are at the scene now, we're heading back in a few minutes."
16,"Tell us about this new captain. You worked with him before, right?",Years ago. Captain Holt will be here soon. He'll want to introduce himself.
17,"Oh, are you hoping to be put in charge of the Brown Noser Squad, Sergeant Asskisser?","Yeah, then maybe one day you can be Lieutenant Asskisser, on the Brown Noser Squad."
18,"Great minds, right?","Put the murder down, guys. Dismissed."
19,"Hey Gina, you know any scalpers? I want to buy tickets for the Rihanna concert for me and Rosa, but they're sold out.","...Okay, yeah, two points to make here. First: Rihanna? (gesturing vaguely to him) You... Rihanna. "
20,"...Okay, yeah, two points to make here. First: Rihanna? (gesturing vaguely to him) You... Rihanna. ",Yes. What's your second point?
21,Yes. What's your second point?,"That you're wasting your time. She's got a type, which is: anyone but you."
22,Cool. Where... would I find a place that shows old movies?,"Just go on the internet and search for the phrase ""I want to buy two movie tickets for a girl who doesn't like me."""
23,"...I don't even need to add the zip code, or something?",Just got these crime scene photos -- look at the victim's socks.
24,...What? I don't see anything.,"No, just -- they're super nice socks, right? Where do you get socks like that? I have the worst socks."
25,"No, just -- they're super nice socks, right? Where do you get socks like that? I have the worst socks.",Hey -- have you heard anything about the new captain?
26,Hey -- have you heard anything about the new captain?,"No, and I don't care. Terry runs the detective squad, and he's great."
27,What the hell are you doing?,Fire extinguisher roller chair derby.
28,Is that what you think?,Hey! You must be the new C.O. Detective Jake Peralta. Great to meet you.
29,"That was my speech. Sergeant Jeffords, a word?",I love that guy.
30,"Yeah, he's really suave. Anyone else get kind of a gay vibe?",Sergeant. You were in the 18th with me. Though you were significantly...
31,"Titties. Yes. I remember. I never liked that nickname. Though to be fair, it was accurate. Says here you're on administrative leave?","A year ago, my wife and I had twin baby girls. Cagney and Lacey. Ever since, I've kind of... clenched up. Lost my edge. There was an incident."
32,"What? You always go in first. Look at you -- those biceps don't go in ""second."" ",I think he's dead.
33,You think I can't handle this much hot sauce? I can handle way more than this.,In... your... face.
34,"Absolutely, sir. Where do we start?",We start with him.
35,"Okay. Perp came in through the window, left that muddy footprint, broke that cabinet -- hold on, hold on. Is everyone wearing a necktie? Because it's impossible to solve crimes if you're not wearing a tie.",Shell casings found here. ...Two shots. Bang... bang.
36,"Yeah, he's a little too serious. What do you think, Rosa?",Seems cool.
37,"Looks like the perp stole: a computer, a watch, and a jamon iberico ham, valued at... what?! Six thousand bucks?","A ham for $6000? Is it from a talking pig? Is it made out of ""Babe"
38,"A ham for $6000? Is it from a talking pig? Is it made out of ""Babe","Jamon iberico is an amazing cured ham from Spain. They had it at my uncle's funeral. I gorged myself at that funeral. I was constipated for three days. Rest in peace, Uncle Johnny."
39,A murder and a ham heist? Things just got interesting. This is Captain Ray Holt. We're gonna need some extra ties.,"Speaking of ties, where's yours, Meep-Morp?"
40,"Speaking of ties, where's yours, Meep-Morp?",You gotta be kidding me. Hi Captain! What are you doing here?
41,You gotta be kidding me. Hi Captain! What are you doing here?,I like to know what my detectives are up to. Take Santiago and knock on doors -- see if the neighbors heard anything.
42,Door duty? It's a waste of time.,Diaz and Boyle check in with the coroner. Report back to me in an hour.
43,"Hey, Rosa. I just happened to notice, there's an old movie festival at the Film Forum this week. You want to go?",Sure.
44,"Yeah. I can definitely do that. I'll probably just go with something classic? Like ""Citizen Kane.""","""Citizen Kane"" is terrible. Pick a good movie."
45,What?,Cuba's a weird place. It means
46,The reward is a six-toed prince?!,"Hello, sir -- can we ask you a few questions?"
47,"Hello, sir -- can we ask you a few questions?","Definitely. I'm actually super glad you guys are here. Are you smelling that weed smell? A dude just broke in here, smoked weed, and bolted."
48,"Definitely. I'm actually super glad you guys are here. Are you smelling that weed smell? A dude just broke in here, smoked weed, and bolted.","Yeah, that checks out."
49,What is your name?,My name Brjkolj. B-R-J-K-O-L-J.
50,Have you ever seen this man before? He was shot last night.,Thank you. Brjkolj like.
51,...Sir? That's ours. We need that. And he kept it.,Has anyone in the history of police work ever solved a crime by doing door duty?
52,Has anyone in the history of police work ever solved a crime by doing door duty?,"First of all, yes. Many, many times. Secondly, my dad met my mom doing door duty in Queens."
53,Hello?!,"Hello, sir! My name is Detective Right-All-The-Time, and this is my partner, Detective Terribledetective."
54,We were wondering if you heard anything unusual last night? And are you single?,Yes. But I'm also dying.
55,"So Gina: in my experience, civilian administrators such as yourself often have their ear to the ground. What do Santiago and Peralta have riding on this bet of theirs?","I'll tell you, on six conditions. Number One: you let me use your office to practice m' dance moves. Second--"
56,Just one date?,"He guarantees it'll end in sex. She says it won't. I don't know, though, Jake's got some moves. I'd bet on at least some over-the-clothes action."
57,"First of all, you're kind of over-doing it on the man-scaping. But more importantly, why do you refuse to take my orders seriously, Detective?","Because, sir, if you're wound too tight, you end up like Terry."
58,"There's a middle ground, Detective. Does anyone here know why it's important to me that you dress appropriately? And it has nothing to do with the Patrol Guide.",Guys look good in ties.
59,Show respect for the job. Pride. Confidence? Happiness.,Are we just naming positive things? Rainbows. Kittens. Thanksgiving dinner!
60,Are we just naming positive things? Rainbows. Kittens. Thanksgiving dinner!,Hmm. Four highly-trained detectives and not one of you can solve this simple mystery. I want to be briefed on any new angles. Any questions?
61,Hmm. Four highly-trained detectives and not one of you can solve this simple mystery. I want to be briefed on any new angles. Any questions?,"Well, I was curious whether you thought I was doing too much man-scaping, and apparently you do, so I'm good."
62,"Hey, what about that expensive jamon iber-crap stuff? The perp left a really expensive TV behind, but stole ham? Is there a place near the crime scene that sells it?","Beneficio's might. Their cured meats section is ridiculous. Though, I mainly think of it as a gelato place--"
63,"Okay, Ratko. Just a few questions. Do you recognize him? Henry Morgenthau?",No.
64,"Okay, I'll tell you what happened. He came by and said he had some hams to sell. You knew they were worth a lot of money, so you tried to rob him when he wasn't home. Only he was home, and he fought back, so you shot him. Am I close? Nod your giant caveman head and drool if I'm close.","Oh man, I hate running! Ratko stop! Stop Ratko!"
65,What the hell happened? And what's on your face?,Passion fruit sorbet.
66,"He's seriously assigning me to the records room? Why do we even have a records room? The computer has been invented, right?","You're lucky, man. I wish I could get assigned here full time. You could not be farther from the action."
67,"Sergeant, you know me. I have more arrests than anyone. Can you please tell the captain how dumb it is to lock his best detective in a file cabinet?",Second best.
68,So? What movie did you get tickets to?,"Well, just to be safe, I bought tickets to all of them."
69,"""Just to be safe?"" What does that mean?","I don't know. I didn't want to mess up, because you're sort of... opinionated."
70,"You think I'm opinionated? Okay, here's an opinion for you: you're a bad judge of character and your shirt looks like vomit.",...So we could see North by Northwest--
71,"So, you found something? I like the tie.","I was skeptical, but it really did make a difference in my work. I think I found something interesting in these files. Here, let me show you."
72,"""Ratko"" was a made-up name, but: after looking through a million files, one of which I literally found in a spiderweb, I found a bunch of references to a Serbian thug, street names: ""The Rat"" and ""The Butcher."" Suspect in a few break-ins -- used to hang out at a storage unit near Boerum Park...which has red soil, hence the muddy red footprints on Monganthau's counter. Also, I am freezing. Can I put my pants on now? ","Fine work, Detective. Let's give Peralta a hand, everyone. "
73,"Well, I for one am very excited to be on a stakeout with you, Captain. You know what my fave part of stakeouts is? Patrol guide says: casual dress.",Does he always talk this much?
74,Does he always talk this much?,I just tune it out. It's like a white noise machine.
75,"First off, that's racist. Second of all, you caught the Disco Strangler, right? That dude wrapped a lot of yo-yos around a lot of hookers' necks. Nice collar. But the thing I can't understand is: young superstar detective takes down a serial killer... why'd it take you so long to get your first command?",Because I'm gay.
76,...Seriously?,I'm surprised you didn't know. I don't try to hide it.
77,Why don't you just come to the movies?,No thanks.
78,When did you come out?,"About twenty-five years ago. The NYPD was not ready for an openly gay detective. Then the old guard died, and suddenly, they couldn't wait to show off the fact that they had a high-ranking gay officer. I made captain, but they put me into a public affairs unit. I was a good soldier, helped recruitment... but all I ever wanted was a command. Now, I finally got one, and I'm not going to screw it up."
79,"My God. I have to thank you, Captain, because at this moment, Peralta is feeling humility, for maybe the first time in his life. Aren't you, JP?","Frankly, yes, I am, and Captain, I'm sorry. But also, look, there's Ratko. Humility over. I'm amazing."
80,"Over there is Detective Santiago. And behind you is Captain Holt. Can you believe that? A captain, on a stakeout! He's kind of a hands-on dude. Point is, we have you surrounded -- -- oh my God, I figured out the tie thing! Captain -- hey, I figured it out!","Maybe now's not the best time, Detective."
81,...You ask Ratko what team?,"No, Ratko, shut up. It's important to you because you were kept off that team, and now you're the coach and you want us all to wear the same uniform. Boom. I nailed it."
82,What's wrong with you?,"Never took off the speedo. Huge mistake. It is inside me. Great job, team!"
83,"And what's this all about, Detective?","Oh, the tux? I'm done with work. This is how I dress in my free time."
84,"Oh, the tux? I'm done with work. This is how I dress in my free time.","You did well today, Peralta. But you're going to need a little more humility if you're going to make captain one day."
85,"Him?! If anyone's going to make captain in this bar, it's me. And you, Captain, because you are a captain.","Yeah, I don't want your job. That's the last thing I want."
86,How'd it go with Rosa?,"We will not be seeing a movie. But -- and this is big -- she called me ""sweet."" Sweet's pretty good, right?"
87,"We will not be seeing a movie. But -- and this is big -- she called me ""sweet."" Sweet's pretty good, right?",Sweet's not good. Grow a pair.
88,"Every cop is different. Every precinct is different. But this is the nine-nine. You want to be on this team? You grind it. Get cases, work cases, solve cases. The right way. To the detectives of the nine-nine.","And to Captain Holt...'s best detective, Jake Peralta."
89," Which reminds me, I'm gonna need a new departmentally issued phone. Oh, come on, really? I'm a few minutes late, so you're gonna call me out in front of everyone?"," Good idea. Everyone? Gather round, so I can call out Peralta in front of you."
90," Good idea. Everyone? Gather round, so I can call out Peralta in front of you."," Okay, fine. I was three minutes late. I'm sorry for doing one thing wrong."
91," You also mislabeled the evidence, so that confession is worthless if the sergeant hadn't caught your mistake. Here are three cases with sloppy paperwork. Here are two pictures. One is your locker. The other is a garbage dump in the Philippines. Can you tell which is which?", That one's the dump?
92, That one's the dump?, They're both your locker.
93," So I won't confuse it with ""undies, clean."" Also, who cares about all these rules? I have more felony arrests than any other detective here.", You also have more mice living in your desk than any other detective.
94," Okay, detectives, let's get started. Santiago, where are we with the Jay Street drug bust?"," There are 12 keys of coke unaccounted for, but we just got a warrant to search the dealer's apartment."
95," Oh, that's what he's been drawing. But what are those little round things at the bottom?", That's the butt.
96, The butt?, I assume you have a plan to catch this gentleman.
