,Question,Answer
0,"What do you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces.","I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life."
1,How close did you get?,Close as any man would.
2,Do the dead frighten you?,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.
3,You don't think he'll ask us how they died? Get back on your horse.,Whatever did it to them could do it to us. They even killed the children.
4,What is it?,It's …
5,"And which one of you was a marksman at ten? Keep practicing, Bran. Go on.","Don't think too much, Bran."
6,Do you have to?,"He swore an oath, Cat."
7,You understand why I did it?,Jon said he was a deserter.
8,But do you understand why I had to kill him?,Our way is the old way?
9,Our way is the old way?,The man who passes the sentence should swing the sword.
10,Is it true he saw the White Walkers?,The White Walkers have been gone for thousands of years.
11,So he was lying?,A madman sees what he sees.
12,What is it?,Mountain lion?
13,Mountain lion?,There are no mountain lions in these woods.
14,You want to hold it?,Where will they go? Their mother's dead.
15,Where will they go? Their mother's dead.,They don't belong down here.
16,Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves."
17,What about you?,I'm not a Stark. Get on.
18,What is it?,"The runt of the litter. That one's yours, Snow."
19,What if Jon Arryn told someone?,But who would he tell?
20,But who would he tell?,My husband.
21,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",You should be the Hand of the king.
22,How much could he possibly drink? A man of his … stature.,We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.
23,Why's your mother so dead-set on us getting pretty for the king?,"It's for the queen, I bet. I hear she's [sleek as a mink?]"
24,"It's for the queen, I bet. I hear she's [sleek as a mink?]",I hear the prince is a right royal prick.
25,D'you know what?,What?
26,What?,You always look at your feet before you lie. Run and find your father. Tell him the king is close.
27,"Where's Arya? Sansa, where's your sister?","Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA's helm]"
28,"Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA's helm]",Move!
29,Nine years. Why haven't I seen you? Where the hell have you been?,"Guarding the North for you, Your Grace. Winterfell is yours."
30,Where's the Imp?,Will you shut up?
31,Will you shut up?,"Who have we here? You must be Robb. My, you're a pretty one. Your name is?"
32,"Who have we here? You must be Robb. My, you're a pretty one. Your name is?",Arya.
33,Where is our brother? Go find the little beast.,Tell me about Jon Arryn.
34,"He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what.",Aye.
35,Did you hear the king's in Winterfell?,I did hear something about that.
36,And the other brother?,The queen has two brothers?
37,The queen has two brothers?,There's the pretty one. And there's the clever one.
38,Oh? I hear he's more than earned it. I hear he's a drunken little lecher into all manner of perversions.,Clever girl.
39,Have you?,The gods gave me one blessing.
40,"Should I explain to you the meaning of a closed door in a whorehouse, brother?","You've much to teach me, no doubt. But our sister craves your attention."
41,Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.,She was my sister. This is where she belongs.
42,Daenerys! There's our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn't he a gracious host?,We've been his guests for over a year and he's never asked us for anything.
43,"Illyrio is no fool. He knows I won't forget my friends when I come into my throne. You still slouch. Let me see. You have a woman's body now. I need you to be perfect today. Can you do that for me? You don't want to wake the dragon, do you?",No.
44,Where is he?,The Dothraki are not known for their punctuality.
45,"May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen.","Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame. Khal Drogo has never been defeated. He's a savage, of course, but he's one of the finest killers alive. And you will be his queen."
46,"Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame. Khal Drogo has never been defeated. He's a savage, of course, but he's one of the finest killers alive. And you will be his queen.","Come forward, my dear."
47,Where's he going?,The ceremony is over.
48,But he didn't say anything. Did he like her?,"Trust me, Your Grace. If he didn't like her, we'd know."
49,When will they be married?,Soon. The Dothraki never stay still for long.
50,Is it true they lie with their horses?,I wouldn't ask Khal Drogo.
51,Do you take me for a fool?,I take you for a king. Kings lack the caution of common men. My apologies if I've given offense.
52,"So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?",I don't know.
53,Do you think Joffrey will like me? What if he thinks I'm ugly?,Then he is the stupidest prince that ever lived.
54,When would we be married? Soon or do we have to wait?,Hush now. Your father hasn't even said yes.
55,Why would he say no? He'd be the second most powerful man in the kingdoms.,He'd have to leave home. He'd have to leave me. And so would you.
56,Is he dead yet?,Uncle Benjen!
57,You got bigger. I rode all day. Didn't want to leave you alone with the Lannisters. Why aren't you at the feast?,Lady Stark thought it might insult the royal family to seat a bastard in their midst.
58,What're you doing back there?,Preparing for a night with your family. I've always wanted to see the Wall.
59,You're Tyrion Lannister. The queen's brother?,"My greatest accomplishment. You – you're Ned Stark's bastard, aren't you?"
60,"My greatest accomplishment. You – you're Ned Stark's bastard, aren't you?","Did I offend you? Sorry. You are the bastard, though."
61,"Did I offend you? Sorry. You are the bastard, though.",Lord Eddard Stark is my father.
62,What the hell do you know about being a bastard?,All dwarves are bastards in their fathers' eyes.
63,The boy I beheaded. Did you know him?,"Of course I did. Just a lad. But he was tough, Ned. A true Ranger."
64,Robb boy. How are ye?,I'm good.
65,"Is this your first time in the North, Your Grace?",Yes. Lovely country.
66,"Hello, little dove. But you are a beauty. How old are you?","Thirteen, Your Grace."
67,You're tall. Still growing?,"I think so, Your Grace."
68,And have you bled yet?,"No, Your Grace."
69,And your dress. Did you make it?,Such talent. You must make something for me.
