,Question,Answer
0,All right Jim. Your quarterlies look very good. How are things at the library?,"Oh, I told you. I couldn't close it. So..."
1,"So you've come to the master for guidance? Is this what you're saying, grasshopper?","Actually, you called me in here, but yeah."
2,"I've, uh, I've been at Dunder Mifflin for 12 years, the last four as Regional Manager. If you want to come through here... See we have the entire floor. So this is my kingdom, as far as the eye can see. This is our receptionist, Pam. Pam! Pam-Pam! Pam Beesly. Pam has been with us for...  forever. Right, Pam?",Well. I don't know.
3,What?,Any messages?
4,Any messages?,"Uh, yeah. Just a fax."
5,"Oh! Pam, this is from Corporate. How many times have I told you? There's a special filing cabinet for things from corporate.",You haven't told me.
6,[singing] Shall I play for you? Pa rum pump um pum [Imitates heavy drumming] I have no gifts for you. Pa rum pump um pum [Imitates heavy drumming],"My job is to speak to clients on the phone about... uh, quantities and type of copier paper. You know, whether we can supply it to them. Whether they can pay for it. And... I'm boring myself just talking about this."
7,"[Strains, grunts] What?",Nothing.
8,"Corporate really doesn't really interfere with me at all. Jan Levinson Gould. [walking out of his office] Jan, hello.  I call her Hillary Rodham Clinton. Right? Not to her face, because... well, not because I'm scared of her. Because I'm not. But, um... Yeah.","Alright, was there anything you wanted to add to the agenda?"
9,"Alright, was there anything you wanted to add to the agenda?",Um... Me no get an agenda.
10,What? I'm sorry?,I didn't get any agenda.
11,Really? I didn't... [looks at Pam] Did we get a fax this morning?,"Uh, yeah, the one..."
12,"Why isn't it in my hand? A company runs on efficiency of communication, right? So what's the problem, Pam? Why didn't I get it?",You put in the garbage can that was a special filing cabinet.
13,Do you want to look at mine?,"Yeah, yeah. Lovely. Thank you."
14,"Me no wanna hear that, Jan. Because downsizing is a bitch. It is a real bitch. And I wouldn't wish that on Josh's men. I certainly wouldn't wish it on my men. Or women, present company excluded. Sorry. Uh, is Josh concerned about downsizing himself? Not downsizing himself but is he concerned about downsizing?","Question. How long do we have to... [Telephone rings] Oh uh, Todd Packer, terrific rep. Do you mind if I take it?"
15,"Question. How long do we have to... [Telephone rings] Oh uh, Todd Packer, terrific rep. Do you mind if I take it?",Go ahead.
16,"Hey, is old Godzillary coming in today?","Uh, I don't know what you mean."
17,I've been meaning to ask her one question. Does the carpet match the drapes?,"Oh, my God! Oh! That's... horrifying. Horrible. Horrible person."
18,So do you think we could keep a lid on this for now? I don't want to worry people unnecessarily.,"No, absolutely. Under this regime, it will not leave this office. [zips his lips] Like that."
19,So what does downsizing actually mean?,Well...
20,Yes?,Are you going to Angela's cat party on Sunday?
21,Are you going to Angela's cat party on Sunday?,"Yeah, stop. That is ridiculous."
22,"Am I going to tell them? No, I am not going to tell them. I don't see the point of that. As a doctor, you would not tell a patient if they had cancer.",Hey.
23,"Sure. Mr. Davis, let me call you right back. Yeah, something just came up. Two minutes. Thank you very much. Dwight, what are you doing?",What?
24,What?,What are you doing?
25,What are you doing?,Just clearing my desk. I can't concentrate.
26,Why not?,Safety violation. I could fall and pierce an organ.
27,Downsizing?,"Downsizing? I have no problem with that. I have been recommending downsizing since I first got here. I even brought it up in my interview. I say, bring it on."
28,"Downsizing? I have no problem with that. I have been recommending downsizing since I first got here. I even brought it up in my interview. I say, bring it on.",You just still have these messages from yesterday.
29,What?,"Come on. Six-Million Dollar Man! Steve Austin! Actually, that would be a good salary for me, don't you think? Six million dollars? Memo to Jan. I deserve a raise."
30,"Come on. Six-Million Dollar Man! Steve Austin! Actually, that would be a good salary for me, don't you think? Six million dollars? Memo to Jan. I deserve a raise.",Don't we all?
31,Don't we all?,I'm sorry?
32,I'm sorry?,Nothing.
33,"If you're unhappy with your compensation, maybe you should take it up with HR. OK. Not today, OK? Pam, just be professional. [Sighs]","I think I'm a role model here. I think I garner people's respect. [Imitating a PA] Attention all Dunder Mifflin employees, please. We have a meeting in the conference room, ASAP."
