,Question,Answer
0,"When you go on like this, you know what you sound like?","I sound like a sensible fucking man, is what I sound like."
1,Can I get anybody anymore coffee?,"Oh yes, thank you."
2,"I mean the way it is now, you're takin' the same fuckin' risk as when you rob a bank. You take more of a risk. Banks are easier! Federal banks aren't supposed to stop you anyway, during a robbery. They're insured, why should they care? You don't even need a gun in a federal bank. I heard about this guy, walked into a federal bank with a portable phone, handed the phone to the teller, the guy on the other end of the phone said: ""We got this guy's little girl, and if you don't give him all your money, we're gonna kill 'er.""",Did it work?
3,Did it work?,"Fuckin' A it worked, that's what I'm talkin' about! Knucklehead walks in a bank with a telephone, not a pistol, not a shotgun, but a fuckin' phone, cleans the place out, and they don't lift a fuckin' finger."
4,Did they hurt the little girl?,I don't know. There probably never was a little girl – the point of the story isn't the little girl. The point of the story is they robbed the bank with a telephone.
5,You wanna rob banks?,"I'm not sayin' I wanna rob banks, I'm just illustrating that if we did, it would be easier than what we been doin'."
6,So you don't want to be a bank robber?,"Naw, all those guys are goin' down the same road, either dead or servin' twenty."
7,And no more liquor stores?,"What have we been talking about? Yeah, no more-liquor-stores. Besides, it ain't the giggle it usta be. Too many foreigners own liquor stores. Vietnamese, Koreans, they can't fuckin' speak English. You tell 'em: ""Empty out the register,"" and they don't know what it fuckin' means. They make it too personal. We keep on, one of those gook motherfuckers' gonna make us kill 'em."
8,"What have we been talking about? Yeah, no more-liquor-stores. Besides, it ain't the giggle it usta be. Too many foreigners own liquor stores. Vietnamese, Koreans, they can't fuckin' speak English. You tell 'em: ""Empty out the register,"" and they don't know what it fuckin' means. They make it too personal. We keep on, one of those gook motherfuckers' gonna make us kill 'em.",I'm not gonna kill anybody.
9,"Well, what else is there, day jobs?",Not this life.
10,Well what then?,Garcon! Coffee!
11,Here? It's a coffee shop.,"What's wrong with that? People never rob restaurants, why not? Bars, liquor stores, gas stations, you get your head blown off stickin' up one of them. Restaurants, on the other hand, you catch with their pants down. They're not expecting to get robbed, or not as expecting."
12,"What's wrong with that? People never rob restaurants, why not? Bars, liquor stores, gas stations, you get your head blown off stickin' up one of them. Restaurants, on the other hand, you catch with their pants down. They're not expecting to get robbed, or not as expecting.",I bet in places like this you could cut down on the hero factor.
13,"See, I got the idea last liquor store we stuck up. 'Member all those customers kept comin' in?",Yeah.
14,"Pretty smart, huh?","Pretty smart. I'm ready, let's go, right here, right now."
15,Any of you fuckin' pricks move and I'll execute every one of you motherfuckers! Got that?,"– Okay now, tell me about the hash bars?"
16,"– Okay now, tell me about the hash bars?",What so you want to know?
17,What so you want to know?,"Well, hash is legal there, right?"
18,"Well, hash is legal there, right?","Yeah, it's legal, but is ain't a hundred percent legal. I mean you can't walk into a restaurant, roll a joint, and start puffin' away. You're only supposed to smoke in your home or certain designated places."
19,Those are hash bars?,"Yeah, it breaks down like this: it's legal to buy it, it's legal to own it and, if you're the proprietor of a hash bar, it's legal to sell it. It's legal to carry it, which doesn't really matter 'cause – get a load of this – if the cops stop you, it's illegal for this to search you. Searching you is a right that the cops in Amsterdam don't have."
20,You'll dig it the most. But you know what the funniest thing about Europe is?,What?
21,What?,"It's the little differences. A lotta the same shit we got here, they got there, but there they're a little different."
22,Examples?,"Well, in Amsterdam, you can buy beer in a movie theatre. And I don't mean in a paper cup either. They give you a glass of beer, like in a bar. In Paris, you can buy beer at MacDonald's. Also, you know what they call a Quarter Pounder with Cheese in Paris?"
23,"Well, in Amsterdam, you can buy beer in a movie theatre. And I don't mean in a paper cup either. They give you a glass of beer, like in a bar. In Paris, you can buy beer at MacDonald's. Also, you know what they call a Quarter Pounder with Cheese in Paris?",They don't call it a Quarter Pounder with Cheese?
24,They don't call it a Quarter Pounder with Cheese?,"No, they got the metric system there, they wouldn't know what the fuck a Quarter Pounder is."
25,What'd they call it?,Royale with Cheese.
26,Royale with Cheese. What'd they call a Big Mac?,"Big Mac's a Big Mac, but they call it Le Big Mac."
27,Le Big Mac. What do they call a Whopper?,"I dunno, I didn't go into a Burger King. But you know what they put on french fries in Holland instead of ketchup?"
28,"I dunno, I didn't go into a Burger King. But you know what they put on french fries in Holland instead of ketchup?",What?
29,What?,Mayonnaise.
30,How many up there?,Three or four.
31,Counting our guy?,I'm not sure.
32,So there could be five guys up there?,It's possible.
33,What's her name?,Mia.
34,How did Marsellus and her meet?,"I dunno, however people meet people. She usta be an actress."
35,She ever do anything I woulda saw?,I think her biggest deal was she starred in a pilot.
36,What's a pilot?,"Well, you know the shows on TV?"
37,"Well, you know the shows on TV?",I don't watch TV.
38,"Yes, but you're aware that there's an invention called television, and on that invention they show shows?",Yeah.
39,"You remember Antwan Rockamora? Half- black, half-Samoan, usta call him Tony Rocky Horror.","Yeah maybe, fat right?"
40,"Yeah maybe, fat right?","I wouldn't go so far as to call the brother fat. He's got a weight problem. What's the nigger gonna do, he's Samoan."
41,"I think I know who you mean, what about him?","Well, Marsellus fucked his ass up good. And word around the campfire, it was on account of Marsellus Wallace's wife."
42,"What'd he do, fuck her?","No no no no no no no, nothin' that bad."
43,Well what then?,He gave her a foot massage.
44,A foot massage?,That's all?
45,That's all?,What did Marsellus do?
46,What did Marsellus do?,"Sent a couple of guys over to his place. They took him out on the patio of his apartment, threw his ass over the balcony. Nigger fell four stories. They had this garden at the bottom, enclosed in glass, like one of them greenhouses – nigger fell through that. Since then, he's kinda developed a speech impediment."
47,Whaddya mean?,You don't be givin' Marsellus Wallace's new bride a foot massage.
48,You don't think he overreacted?,"Antwan probably didn't expect Marsellus to react like he did, but he had to expect a reaction."
49,Have you ever given a foot massage?,Don't be tellin' me about foot massages – I'm the foot fuckin' master.
50,Given a lot of 'em?,"Shit yeah. I got my technique down man, I don't tickle or nothin'."
51,Have you ever given a guy a foot massage?,Fuck you.
52,How many?,Fuck you.
53,What time is it?,Seven-twenty-two in the morning.
54,What's her name again?,Mia. Why you so interested in big man's wife?
55,Mia. Why you so interested in big man's wife?,"Well, Marsellus is leavin' for Florida and when he's gone, he wants me to take care of Mia."
56,Take care of her?,Not that! Take her out. Show her a good time. Don't let her get lonely.
57,You're gonna be takin' Mia Wallace out on a date?,It ain't a date. It's like when you and your buddy's wife go to a movie or somethin'. It's just... you know... good company.
58,How you boys doin'?,"Am I trippin', or did I just ask you a question."
59,Do you know who we are?,"We're associates of your business partner Marsellus Wallace, you remember your business partner dont'ya?"
60,"We're associates of your business partner Marsellus Wallace, you remember your business partner dont'ya?","Now I'm gonna take a wild guess here: you're Brett, right?"
61,"Now I'm gonna take a wild guess here: you're Brett, right?",I'm Brett.
62,"I thought so. Well, you remember your business partner Marsellus Wallace, dont'ya Brett?",I remember him.
63,"Good for you. Looks like me and Vincent caught you at breakfast, sorry 'bout that. What'cha eatin'?",Hamburgers.
64,Hamburgers. The cornerstone of any nutritious breakfast. What kinda hamburgers?,Cheeseburgers.
65,"No, I mean where did you get'em? MacDonald's, Wendy's, Jack-in-the- Box, where?",Big Kahuna Burger.
66,"Big Kahuna Burger. That's that Hawaiian burger joint. I heard they got some tasty burgers. I ain't never had one myself, how are they?",They're good.
67,Mind if I try one of yours?,No.
68,"Yours is this one, right?",Yeah.
69,"Uuummmm, that's a tasty burger. Vince, you ever try a Big Kahuna Burger?",No.
70,"Well, if you like hamburgers give 'em a try sometime. Me, I can't usually eat 'em 'cause my girlfriend's a vegetarian. Which more or less makes me a vegetarian, but I sure love the taste of a good burger. You know what they call a Quarter Pounder with Cheese in France?",No.
71,"Royale with Cheese, you know why they call it that?",Because of the metric system?
72,Because of the metric system?,"Check out the big brain on Brett. You'a smart motherfucker, that's right. The metric system. What's in this?"
73,"Check out the big brain on Brett. You'a smart motherfucker, that's right. The metric system. What's in this?",Sprite.
74,"Sprite, good, mind if I have some of your tasty beverage to wash this down with?",Sure.
75,"Uuuuummmm, hit's the spot! You, Flock of Seagulls, you know what we're here for?","Then why don't you tell my boy here Vince, where you got the shit hid."
76,– I don't remember askin' you a goddamn thing. You were sayin'?,It's under the bed.
77,We happy?,Vincent!
78,We happy?,We're happy.
79,"Look, what's your name? I got his name's Vincent, but what's yours?","My name's Pitt, and you ain't talkin' your ass outta this shit."
80,"Oh, I'm sorry. Did that break your concentration? I didn't mean to do that. Please, continue. I believe you were saying something about ""best intentions.""","Whatsamatter? Oh, you were through anyway. Well, let me retort. Would you describe for me what Marsellus Wallace looks like?"
81,"Whatsamatter? Oh, you were through anyway. Well, let me retort. Would you describe for me what Marsellus Wallace looks like?",What country you from!
82,What?,"""What"" ain't no country I know! Do they speak English in ""What?"""
83,"""What"" ain't no country I know! Do they speak English in ""What?""",What?
84,What?,English-motherfucker-can-you-speak- it?
85,English-motherfucker-can-you-speak- it?,Yes.
86,Then you understand what I'm sayin'?,Yes.
87,What?,"Say ""What"" again! C'mon, say ""What"" again! I dare ya, I double dare ya motherfucker, say ""What"" one more goddamn time!"
88,– does he look like a bitch?!,What?
89,What?,Does-he-look-like-a-bitch?!
90,Does-he-look-like-a-bitch?!,No.
91,Then why did you try to fuck 'im like a bitch?!,I didn't.
92,"Yes ya did Brett. Ya tried ta fuck 'im. You ever read the Bible, Brett?",Yes.
93,"I think you're gonna find – when all this shit is over and done – I think you're gonna find yourself one smilin' motherfucker. Thing is Butch, right now you got ability. But painful as it may be, ability don't last. Now that's a hard motherfuckin' fact of life, but it's a fact of life your ass is gonna hafta git realistic about. This business is filled to the brim with unrealistic motherfuckers who thought their ass aged like wine. Besides, even if you went all the way, what would you be? Feather-weight champion of the world. Who gives a shit? I doubt you can even get a credit card based on that.","Now the night of the fight, you may fell a slight sting, that's pride fuckin' wit ya. Fuck pride! Pride only hurts, it never helps. Fight through that shit. 'Cause a year from now, when you're kickin' it in the Caribbean you're gonna say, ""Marsellus Wallace was right."""
94,Where's the big man?,"He's over there, finishing up some business."
95,"Hang back for a second or two, and when you see the white boy leave, go on over. In the meanwhile, can I make you an espresso?",How 'bout a cup of just plain lo' American?
96,How 'bout a cup of just plain lo' American?,Comin' up. I hear you're taking Mia out tomorrow?
97,Comin' up. I hear you're taking Mia out tomorrow?,At Marsellus' request.
98,Have you met Mia?,Not yet.
99,What's so funny?,Not a goddamn thing.
100,Can I get a pack'a Red Apples?,Filters?
101,Filters?,Non.
102,"Lookin' at somethin', friend?","I ain't your friend, palooka."
103,What was that?,"I think ya heard me just fine, punchy."
