,Question,Answer
0,"Do you know what this is all about? Do you know, why we're here? To be out, this is out...and out is one of the single most enjoyable experiences of life. People...did you ever hear people talking about We should go out? This is what they're talking about...this whole thing, we're all out now, no one is home. Not one person here is home, we're all out! There are people tryin to find us, they don't know where we are. Did you ring?, I can't find him. Where did he go? He didn't tell me where he was going. He must have gone out. You wanna go out you get ready, you pick out the clothes, right? You take the shower, you get all ready, get the cash, get your friends, the car, the spot, the reservation...Then you're standing around, whatta you do? You go We gotta be getting back. Once you're out, you wanna get back! You wanna go to sleep, you wanna get up, you wanna go out again tomorrow, right? Where ever you are in life, it's my feeling, you've gotta go.","See, to me, that button is in the worst possible spot. The second button literally makes or breaks the shirt, look at it. It's too high! It's in no-mans-land. You look like you live with your mother."
1,Are you through?,"You do of course try on, when you buy?"
2,"You do of course try on, when you buy?","Yes, it was purple, I liked it, I don't actually recall considering the buttons."
3,"Oh, you don't recall?","Uh, no, not at this time."
4,"Are, are you sure this is decaf? Where's the orange indicator?","It's missing, I have to do it in my head decaf left, regular right, decaf left, regular right...it's very challenging work."
5,How come you're not doin the second show tomorrow?,"Well, there's this uh, woman might be comin in."
6,"Wait a second, wait a second, what coming in, what woman is coming in?","I told you about Laura, the girl I met in Michigan?"
7,"I told you about Laura, the girl I met in Michigan?","No, you didn't!"
8,"I thought I told you about it, yes, she teaches political science? I met her the night I did the show in Lansing...",Ha.
9,"Wait wait wait, what is she... What is she like?","Oh, she's really great. I mean, she's got like a real warmth about her and she's really bright and really pretty and uh... the conversation though, I mean, it was... talking with her is like talking with you, but, you know, obviously much better."
10,"So, you know, what, what happened?","Oh, nothing happened, you know, but is was great."
11,"So, you know, she calls and says she wants to go out with you tomorrow night? God bless! Devil you!","Yeah, we'll...not exactly. I mean, she said, you know, she called this morning and said she had to come in for a seminar and maybe we'll get together."
12,"Ho ho ho, Had to? Had to come in?","Yeah, but..."
13,Had to come in and maybe we'll get together? Had to and maybe?,Yeah!
14,"What, are you serious...why, why did she call?","How do I know, maybe, you know, maybe she wanted to be polite."
15,To be polite? You are insane!,"All right, all right, I didn't want to tell you this. You wanna know why she called you?"
16,"All right, all right, I didn't want to tell you this. You wanna know why she called you?",Yes!
17,"Claire, Claire, you're a woman, right?","What gave it away, George?"
18,"What gave it away, George?","Uhm...I'd like to ask you...ask you to analyze a hypothetical phone call, you know, from a female point of view."
19,"Now, a woman calls me, all right?",Uh huh.
20,"...and, and maybe she'll see me when she gets there, does this woman intend to spend time with me?","I'd have to say, uuhh, no."
21,"Good. Did you have fun? You have no idea, what you're talking about, now, come on, come with me. I gotta go get my stuff out of the dryer anyway.",I'm not gonna watch you do laundry.
22,Jerry? I have to tell you something. This is the dullest moment I've ever experienced.,"Well, look at this guy. Look, he's got everything, he's got detergents, sprays, fabric softeners. This is not his first load."
23,What?!,Laura.
24,"Yeah, but how could you be so sure?","'Cause it's signals, Jerry, it's signals!  Don't you- all right. Did she even ask you, what you we're doin tomorrow night, if you we're busy?"
25,"'Cause it's signals, Jerry, it's signals!  Don't you- all right. Did she even ask you, what you we're doin tomorrow night, if you we're busy?",No.
26,She calls you today and she doesn't make a plan for tomorrow? What is that? It's Saturday night!,Yeah.
27,"What is that? It's ridiculous! You don't even know what hotel she's staying at, you can't call her. That's a signal, Jerry, that's a signal!  Signal!",Maybe you're right.
28,Maybe I'm right? Of course I'm right.,"This is insane. You know, I don't even know where she's staying! She, she's not gonna call me, this is unbelievable."
29,"I know, I know. Listen, your stuff has to be done by now, why don't you just see if it's dry?","No no no, don't interrupt the cycle. The machine is working, it, it knows what it's doing. Just let it finish."
30,Why not?,"Same as you can't overwet. You see, once something is wet, it's wet. Same thing with death. Like once you die you're dead, right? Let's say you drop dead and I shoot you. You're not gonna die again, you're already dead. You can't overdie, you can't overdry."
31,"Same as you can't overwet. You see, once something is wet, it's wet. Same thing with death. Like once you die you're dead, right? Let's say you drop dead and I shoot you. You're not gonna die again, you're already dead. You can't overdie, you can't overdry.",Any questions?
32,Any questions?,How could she not tell me where she was staying?
33,How could she not tell me where she was staying?,Look at that. They're done!
34,"Laundry day is the only exciting day in the life of clothes. It is...yknow, think about it. The washing machine is the nightclub of clothes. You know, it's dark, there's bubbles happening, they're all kinda dancing around in there- shirt grabs the underwear, Cmon babe, let's go. You come by, you open up the lid and they'll-  Socks are the most amazing article of clothing. They hate their lives, they're in the shoes with stinky feet, the boring drawers. The dryer is their only chance to escape and they all know it. They knew a escape from the dryer. They plan it in the hamper the night before, Tomorrow, the dryer, I'm goin. You wait here! The dryer door swings open and the sock is waiting up against the side wall. He hopes you don't see him and then he goes down the road. They get buttons sewn on their faces, join a puppet show. So they're showing me on television the detergent for getting out bloodstains. Is this a violent image to anybody? Bloodstains? I mean, come on, you got a T-shirt with bloodstains all over it, maybe laundry isn't your biggest problem right now. You gotta get the harpoon out your chest first.","If you know what happened in the Met game, don't say anything, I taped it, hello. Yeah, no, I'm sorry, you have the wrong number. Yeah, no"
35,Yeah?,Are you up?
36,Are you up?,"Yeah. Yeah, people do move. Have you ever seen the big trucks out on the street? Yeah, no problem."
37,"Yeah. Yeah, people do move. Have you ever seen the big trucks out on the street? Yeah, no problem.","Boy, the Mets blew it tonight, huh?"
38,"Boy, the Mets blew it tonight, huh?","Ohhhh, what are you doing? Kessler, it's a tape! I taped the game, it's one oclock in the morning! I avoided human contact all night to watch this."
39,"Ohhhh, what are you doing? Kessler, it's a tape! I taped the game, it's one oclock in the morning! I avoided human contact all night to watch this.","Hey, I'm sorry, I- you know, I, I thought you knew. You got any meat?"
40,"Hey, I'm sorry, I- you know, I, I thought you knew. You got any meat?","Meat? I don't, I don't know, go... hunt!  We'll what happened in the game anyway?"
41,"Meat? I don't, I don't know, go... hunt!  We'll what happened in the game anyway?","What happened? Well, they STUNK, that's what happened!"
42,"What happened? Well, they STUNK, that's what happened!","You know, I almost wound up going to that game."
43,Yeah. Are you done with this?,No.
44,You want me to talk to her?,I don't think so.
45,"That close, huh?",You better believe it.
46,"No believe me, I'm always up at this hour. How are you?... Great... Sure... What time does the plane get in?... I got my friend George to take me...",SLIDE! Wow!
47,"If my father was moving this he'd had to have a cigarette in his mouth the whole way. 'Have you got your end?...Your ends got to come down first, easy now, drop it down...drop it down, your ends got to come down.'","You know, I can't believe you're bringin in an extra bed for woman that wants to sleep with you. Why don't you bring in an extra guy too?"
48,"You know, I can't believe you're bringin in an extra bed for woman that wants to sleep with you. Why don't you bring in an extra guy too?","Look, it's a very awkward situation. I don't wanna be presumptuous."
49,"All right, all right, one more time, one more time! What was the exact phrasing of the request?","All right, she said she couldn't find a decent hotel room..."
50,"You can't be serious. This is New York city. There must be eleven million decent hotel rooms! Whatta you need? A flag?  This is the signal, Jerry, this is the signal!","This is the signal? Thank you, Mr. Signal. Where we're you yesterday?"
51,"This is the signal? Thank you, Mr. Signal. Where we're you yesterday?",I think I was affected by the caffeine.
52,"Oh, he's gettin a drink of water. Is this for that girl?",Yeah.
53,Why even give her an option?,"This is a person I like, it's not How to score on spring break."
54,"Right, can we go? 'Cause I'm double-parked, I'm gonna get a ticket.","Yeah, okay. Oh, wait a second. Oh, I forgot to clean the bathroom."
55,So what? That's good.,"Now, how could that be good?"
